001.wav,4,-0.33008795976638794
002.wav,9,-0.05516650527715683
003.wav,0,-0.2552342712879181
004.wav,3,-0.009924140758812428
005.wav,7,-0.40603628754615784
006.wav,9,-0.7017689347267151
007.wav,0,-0.02074219472706318
008.wav,2,-0.00139208126347512
009.wav,9,-2.6584024453768507e-05
010.wav,2,-0.11854177713394165
011.wav,1,-0.2230842262506485
012.wav,2,-0.0017182083101943135
013.wav,9,-0.6395984292030334
014.wav,7,-0.00618932768702507
015.wav,8,-0.0004544694675132632
016.wav,3,-0.031929973512887955
017.wav,2,-0.3816840648651123
018.wav,6,-0.005490566603839397
019.wav,9,-5.8533474657451734e-05
020.wav,4,-0.0010071698343381286
021.wav,6,-6.819004192948341e-05
022.wav,8,-1.018520712852478
023.wav,6,-0.0006519893067888916
024.wav,7,-0.0009858697885647416
025.wav,0,-0.10523001849651337
026.wav,3,-0.00030128724756650627
027.wav,0,-1.1633743047714233
028.wav,5,-5.459934618556872e-05
029.wav,8,-0.0046171280555427074
030.wav,7,-0.04218335822224617
031.wav,7,-0.003276105970144272
032.wav,3,-0.11560523509979248
033.wav,6,-4.172412081970833e-05
034.wav,5,-0.03173663839697838
035.wav,3,-0.005153082311153412
036.wav,2,-0.0004850609984714538
037.wav,7,-0.011962572112679482
038.wav,1,-0.02143501304090023
039.wav,3,-0.0023216712288558483
040.wav,2,-0.0032134968787431717
041.wav,5,-0.0010582441464066505
042.wav,3,-0.0030878724064677954
043.wav,9,-0.004670902155339718
044.wav,8,-0.437365859746933
045.wav,6,-0.005708326119929552
046.wav,0,-0.0004981805104762316
047.wav,2,-0.025643615052103996
048.wav,2,-0.00019081267237197608
049.wav,6,-0.24875441193580627
050.wav,5,-7.307796477107331e-05
051.wav,3,-0.0010588408913463354
052.wav,7,-0.03640959784388542
053.wav,5,-0.0017480025999248028
054.wav,8,-0.0010318116983398795
055.wav,2,-0.03821764513850212
056.wav,1,-0.02626408077776432
057.wav,4,-0.07213470339775085
058.wav,0,-0.6687847971916199
059.wav,2,-0.6061236262321472
060.wav,8,-0.0037489982787519693
061.wav,1,-0.22618882358074188
062.wav,0,-0.00025615395861677825
063.wav,6,-1.3470740668708459e-05
064.wav,3,-0.0024351300671696663
065.wav,4,-0.0007836312288418412
066.wav,7,-0.0351482592523098
067.wav,9,-6.532882252940908e-05
068.wav,8,-7.140891102608293e-05
069.wav,1,-5.5433854868169874e-05
070.wav,3,-0.01509353332221508
071.wav,0,-0.6788973212242126
072.wav,7,-0.0070493146777153015
073.wav,9,-0.0006720893434248865
074.wav,1,-0.10829062759876251
075.wav,1,-0.00024482625303789973
076.wav,6,-9.537197911413386e-05
077.wav,5,-0.36358028650283813
078.wav,2,-8.523827273165807e-05
079.wav,1,-0.04771903157234192
080.wav,9,-0.013849110342562199
081.wav,3,-0.0863315761089325
082.wav,7,-0.17234894633293152
083.wav,8,-0.0012073649559170008
084.wav,2,-0.00673710647970438
085.wav,7,-0.04562437906861305
086.wav,0,-0.1778150498867035
087.wav,9,-0.0022785973269492388
088.wav,3,-0.00027356314240023494
089.wav,0,-0.0034054620191454887
090.wav,1,-0.01125265471637249
091.wav,3,-0.00021084384934511036
092.wav,6,-0.05377877131104469
093.wav,2,-0.008465978316962719
094.wav,7,-0.01741555705666542
095.wav,3,-0.0026503128465265036
096.wav,2,-0.00019963587692473084
097.wav,5,-0.012451782822608948
098.wav,8,-0.543537437915802
099.wav,9,-0.09548738598823547
100.wav,8,-3.755163197638467e-05
101.wav,8,-2.5391900635440834e-05
102.wav,9,-0.6275003552436829
103.wav,2,-0.0024497092235833406
104.wav,2,-0.0017385686514899135
105.wav,8,-0.7414557933807373
106.wav,6,-0.0008917849627323449
107.wav,1,-0.02800261601805687
108.wav,2,-0.00020833993039559573
109.wav,1,-0.001429148018360138
110.wav,6,-0.00027415933436714113
111.wav,8,-0.023055613040924072
112.wav,4,-0.10544346272945404
113.wav,5,-0.4313502609729767
114.wav,6,-0.002966149477288127
115.wav,4,-0.1895609349012375
116.wav,2,-0.004177282564342022
117.wav,2,-0.5365374684333801
118.wav,3,-0.00021680559439118952
119.wav,5,-0.0007569077424705029
120.wav,4,-0.2953605055809021
